statistic,final_portfolio_value,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
mean,1754517.1064227656,0.7545171064227656,0.17610785839709378,0.18217123675338923,1.0375600966013183,-0.2466895865370109
std,531133.4011704351,0.5311334011704352,0.11484300618320414,0.03496300205508369,0.6427002934131432,0.10586997083972893
min,1004531.744452744,0.004531744452743958,0.001373737615548709,0.1470562484467882,0.005867657217917465,-0.43443184956562897
max,2467697.9515643613,1.4676979515643613,0.31554443888202366,0.23412029103436152,1.5943184276937896,-0.1810268785028094
