strategy,final_portfolio_value,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
RL rolling ensemble,2690398.1752910353,1.6903981752910355,0.3505122310002009,0.18366227334144017,1.9084607013906212,-0.2228198474934563
DIA buy-and-hold,1583162.669068808,0.5831626690688079,0.14702788654280963,0.1345937353797705,1.092382837343468,-0.15954332627709245
Equal-weight 30,2176245.5764425592,1.1762455764425592,0.2613401410433558,0.15462884827776613,1.690112446378051,-0.19078452850505134
Minimum-variance,1682797.751935232,0.682797751935232,0.16812200319852777,0.11721109159168651,1.4343523374408387,-0.09932892676187333
