strategy,final_portfolio_value,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
Nested tuned RL ensemble,1865087.1940419364,0.8650871940419365,0.20778770688532022,0.1657563252046727,1.253573319924582,-0.1541831151863342
DIA buy-and-hold,1584217.6697447028,0.5842176697447028,0.1468835349245612,0.13445409263131475,1.0924437631461996,-0.15954320986029757
Equal-weight 30,2168758.573938323,1.168758573938323,0.2593545619645632,0.15448207858320656,1.6788650459857102,-0.19078453355227454
Minimum-variance,1710031.7390095163,0.7100317390095163,0.1732903474829064,0.11722542855370145,1.4782658474438537,-0.09932880694647872
