date,Nested tuned RL,Author-style RL,DIA,Equal-weight 30,Minimum-variance
2023-02,-0.033927119539834516,-0.03722415630073028,-0.040268668024054155,-0.029402529519025333,-0.04315090265739774
2023-03,0.023143749510184275,0.03363835550835992,0.02123623348588155,0.03791607952373477,0.03420436077488587
2023-04,0.03446040437051123,0.04409189935355928,0.02584251195976006,0.02141766739756812,0.03532570702147808
2023-05,0.004512304192471728,-0.03856231274308264,-0.031658703616875505,-0.0030089281903447063,-0.04305968839676633
2023-06,0.05094916992261145,0.04164515869495644,0.045841704491901725,0.05928820921894662,0.05376902056401511
2023-07,0.009417989408614158,0.005172744210229396,0.034871801167508654,0.033402137513479424,-0.007683636533975635
2023-08,0.011312376488251674,-0.023796989308119687,-0.02037651953721531,-0.006564067803594198,0.00022898514079394694
2023-09,-0.04192981824402153,-0.03790091650802263,-0.03442745506768996,-0.053648946747052784,-0.055235280187346025
2023-10,0.011093706889249821,0.022221733453255288,-0.01279269401533667,-0.012987691286331815,0.03030869184609286
2023-11,0.07441760714456858,0.07683978576807138,0.09152935596673317,0.09635676376054336,0.04811740062705305
2023-12,0.027968886373043622,-0.0006669947886424055,0.0492021526338553,0.047941921343064964,0.012538573792303609
2024-01,0.011235562060435855,-0.002853609792984546,0.01251592611743746,0.04105541013260172,0.055032106281903026
2024-02,0.010640731963006411,0.006676061767462826,0.0241119742585163,0.06399813863826909,0.020013287280651104
2024-03,0.018612459925323233,0.0014710298365760988,0.022473922561961013,0.03998598194856373,0.023714567810343645
2024-04,-0.05792297868540508,-0.052701012796544267,-0.048852957385754014,-0.04730182167606556,-0.027388408486584637
2024-05,0.02838429919389207,0.041503482000952996,0.02638616513638814,0.05790185689969363,0.02861180617092174
2024-06,0.02808837951871057,-0.00943318646989777,0.011544740161139933,0.032712923914164804,0.018064104812250736
2024-07,0.08654394642787455,0.03813300590605806,0.044882659993102036,0.022133328655396856,0.012171096996096198
2024-08,0.03412901179208783,0.02833503494425682,0.01972055530662442,0.026500796736551147,0.05609001493824328
2024-09,0.013459150244020224,0.017792594510964932,0.019621745544444957,0.023495420518768295,0.03410129933439654
2024-10,0.012958556046615222,-0.05238309740544056,-0.012540228798056496,0.004173937332000888,-0.0336765819547743
2024-11,0.08306807716576348,0.058723934007811396,0.07827615699016266,0.07455767639303001,0.05789748836757114
2024-12,-0.03195762420421877,-0.08823771579984896,-0.0519020354181563,-0.03475722154914662,-0.03722735915804898
2025-01,0.02913063967648899,0.053304660760490785,0.04713805280576122,0.020959310934702824,0.04073313928182021
2025-02,0.008210600436540316,-0.01617668528977967,-0.01429322277220113,0.001077815232655821,0.03361099388075517
2025-03,-0.044735983460165274,-0.06709341922885015,-0.040349375223266315,-0.06200687856146381,-0.025621485640613728
2025-04,-0.013045957496072402,0.0023559982912197963,-0.03176635905277814,-0.017829263933021644,0.007094943059628989
2025-05,0.08818976584248484,0.06523869923197045,0.04142279331917864,0.07931151923554025,0.016076967112688134
2025-06,0.041749869960472585,0.05456497159905793,0.0450587193561518,0.06437141674345881,-0.006274821305312872
2025-07,0.007298577653489957,0.011569181355020497,0.0019503764655697253,0.02363490674896429,0.010587741529975991
2025-08,0.012070001944244124,0.025111876154368495,0.03405675061397462,0.01724065599591129,0.022163262395611394
2025-09,0.005283412001898968,0.04088131991868771,0.01967801494524557,0.02514487935386911,0.003840095746279637
2025-10,0.03385032880141847,-0.015119865912926356,0.02607182652914064,0.04177687388970219,-0.002783570261602919
2025-11,-0.021269073249188475,0.042830932090461404,0.004437341064974953,-0.019595057051619902,0.04978179336930966
2025-12,-0.005229030251480915,0.0019764090170493187,0.009297206722977958,0.015636845535412114,-0.008469676814314653
2026-01,0.02842104833467074,-0.008448760104341702,0.017972479515127704,0.019031821461583665,0.07032377477910523
2026-02,0.025796545509279456,0.03976250319268648,0.0025313721670532363,-0.011030320234162505,0.06873302248651147
2026-03,-0.04218483675491924,-0.04384756464996531,-0.05201414819341699,-0.04060626266957712,-0.032761144136381204
2026-04,0.030353058698645352,0.05932476430885392,0.0726932185628053,0.07857636794768474,0.027114957638465942
2026-05,0.029226488168259346,0.029522399838163516,-0.0013622286225033475,0.02772136154899041,0.003605606532734784
