strategy,n_daily_returns,point_cumulative_return,cum_return_ci_low,cum_return_ci_high,point_sharpe,sharpe_ci_low,sharpe_ci_high,point_max_drawdown,maxdd_ci_low,maxdd_ci_high
Nested tuned RL,832,0.8650871940419365,0.03249763451643335,2.3640648358965812,1.2535733199245824,0.05909992779591968,2.696125422365703,-0.1541831151863342,-0.3196742038979055,-0.099787062962678
Author-style RL,832,0.4170507989004346,-0.16357364661788892,1.4067170419206378,0.7387432889265938,-0.3488329435400887,2.044450436402915,-0.21338022438646553,-0.3566876203916181,-0.10300943717013666
DIA,832,0.5842176697447028,-0.017355012450335335,1.5450597746632324,1.1168958613739801,-0.04062619648290901,2.4384062214720275,-0.1526448302010568,-0.2806769432529791,-0.08211954516193165
Equal-weight 30,832,1.168758573938323,0.25728143896081246,2.6904451210677864,1.7295034034815269,0.46490954494797304,3.2048942608842035,-0.18006276559431356,-0.26020216313078726,-0.08311619577055208
Minimum-variance,832,0.7100317390095163,0.12118766098315133,1.5508493429952765,1.5052290037716836,0.29800119853005946,2.815894416757307,-0.08765377608906755,-0.2215856573542215,-0.0690119999983768
