statistic,final_portfolio_value,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
mean,1754517.1064227656,0.7545171064227656,0.1761078583970937,0.1821712367533892,1.0375600966013183,-0.2466895865370109
std,531133.4011704351,0.5311334011704352,0.1148430061832041,0.0349630020550836,0.6427002934131432,0.1058699708397289
min,1004531.744452744,0.0045317444527439,0.0013737376155487,0.1470562484467882,0.0058676572179174,-0.4344318495656289
max,2467697.9515643613,1.4676979515643611,0.3155444388820236,0.2341202910343615,1.5943184276937896,-0.1810268785028094
