strategy,months,mean_monthly_return,std_monthly_return,best_month_return,worst_month_return,positive_months,negative_months,positive_month_fraction
Nested tuned RL,40,0.015544357094495573,0.03398271098843382,0.08818976584248484,-0.05792297868540508,31,9,0.775
Author-style RL,40,0.008706056215534205,0.03923871876126139,0.07683978576807138,-0.08823771579984896,25,15,0.625
DIA,40,0.011444029052901861,0.03538267625292731,0.09152935596673317,-0.05201414819341699,27,13,0.675
Equal-weight 30,40,0.018964575883336172,0.03815463041198537,0.09635676376054336,-0.06200687856146381,28,12,0.7
Minimum-variance,40,0.013763056350969189,0.032644135801734114,0.07032377477910523,-0.055235280187346025,28,12,0.7
