strategy,final_portfolio_value,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
RL rolling ensemble,1417050.7989004345,0.4170507989004346,0.1113537377734346,0.15073400928654584,0.7387432889265938,-0.21338022438646553
DIA buy-and-hold,1584217.6697447028,0.5842176697447028,0.1468835349245612,0.1344540926313148,1.0924437631461992,-0.15954320986029757
Equal-weight 30,2168758.573938323,1.168758573938323,0.2593545619645632,0.15448207858320667,1.678865045985709,-0.19078453355227454
Minimum-variance,1710031.7489869741,0.7100317489869741,0.173290349522067,0.11722542830572921,1.4782658679661034,-0.09932880527616184
