date,portfolio_value,reward,unscaled_reward,cash,transaction_costs,trades,turbulence,risk_off,selected_model
2023-01-04,1001360.1519032607,0.1360151903260732,1360.151903260732,821500.903252812,178.32077597121685,16,48.617618480310206,False,a2c
2023-01-05,993435.2557938659,-0.7924896109394846,-7924.896109394846,641461.795353713,358.18002462166555,32,75.76188417571507,False,a2c
2023-01-06,1004213.0374177042,1.0777781623838354,10777.781623838353,465299.0784034164,534.1667548417419,48,36.88287126590971,False,a2c
2023-01-09,1005440.1645428024,0.12271271250981372,1227.1271250981372,285424.3114893188,713.8618266839973,64,27.665622415606787,False,a2c
2023-01-10,1007481.3462302648,0.20411816874623764,2041.1816874623764,104483.60706764134,894.6217711611976,80,32.68206897992657,False,a2c
2023-01-11,1020899.7238763551,1.3418377646090347,13418.377646090346,0.0,999.000999000999,89,12.194550716494991,False,a2c
2023-01-12,1027607.2509857377,0.6707527109382558,6707.527109382558,0.0,1220.7914441290618,104,31.517460622940924,False,a2c
2023-01-13,1029907.6757243592,0.2300424738621572,2300.424738621572,0.0,1442.584346153304,119,18.95959843909522,False,a2c
2023-01-17,1015013.5154969158,-1.4894160227443443,-14894.160227443443,0.0,1625.9225932864592,133,16.752907774513883,False,a2c
2023-01-18,995820.769721298,-1.9192745775617777,-19192.745775617776,0.0,1804.245855430588,147,93.66725005285349,False,a2c
2023-01-19,988489.5578924988,-0.733121182879922,-7331.21182879922,0.0,1967.129828111819,160,29.96924214535943,False,a2c
2023-01-20,1000062.3348256865,1.1572776933187736,11572.776933187735,0.0,2135.4104361381073,176,36.12941970797391,False,a2c
2023-01-23,1012349.7127466893,1.2287377921002802,12287.377921002802,0.0,2172.893141761965,182,41.29164800434987,False,a2c
2023-01-24,1009423.1546841238,-0.2926558062565513,-2926.558062565513,0.0,2198.824551409164,187,24.267918218779265,False,a2c
2023-01-25,1007921.6610815069,-0.15014936026169454,-1501.4936026169453,0.0,2220.5742708768257,192,70.90109706442583,False,a2c
2023-01-26,1022971.0632288388,1.5049402147331974,15049.402147331974,0.0,2222.239242915398,194,15.23518020865826,False,a2c
2023-01-27,1021713.7416705159,-0.12573215583229905,-1257.3215583229903,0.0,2225.0222086445247,196,78.08712783463974,False,a2c
2023-01-30,1014304.7921930978,-0.7408949477418093,-7408.949477418093,0.0,2227.0416828439165,198,111.89017051287911,False,a2c
2023-01-31,1033062.0421462735,1.8757249953175779,18757.24995317578,0.0,2227.0416828439165,198,63.07367884174347,False,a2c
2023-02-01,1037989.0498344204,0.49270076881469,4927.007688146899,0.0,2227.0416828439165,198,33.734816310882906,False,a2c
2023-02-02,1041439.4945783659,0.3450444743945496,3450.4447439454957,0.0,2227.0416828439165,198,26.401697821252355,False,a2c
2023-02-03,1030561.6623385568,-1.0877832239809098,-10877.832239809097,0.0,2227.0416828439165,198,77.42937474874395,False,a2c
2023-02-06,1028313.5261606661,-0.22481361778907014,-2248.136177890701,0.0,2227.0416828439165,198,56.118195152469404,False,a2c
2023-02-07,1040344.9272139837,1.203140105331759,12031.40105331759,0.0,2227.0416828439165,198,16.689097054582486,False,a2c
2023-02-08,1034583.1865002709,-0.5761740713712876,-5761.740713712876,0.0,2230.404227002037,200,35.21474062374773,False,a2c
2023-02-09,1028153.3560244809,-0.642983047578996,-6429.8304757899605,0.0,2230.404227002037,200,22.908968136690973,False,a2c
2023-02-10,1030378.8110886284,0.2225455064147478,2225.455064147478,0.0,2230.404227002037,200,18.04913138754658,False,a2c
2023-02-13,1046407.6996766018,1.602888858797343,16028.88858797343,0.0,2230.404227002037,200,16.313795799879674,False,a2c
2023-02-14,1042766.0529880349,-0.36416466885668924,-3641.6466885668924,0.0,2230.404227002037,200,9.036396525600187,False,a2c
2023-02-15,1045370.5255738574,0.26044725858224554,2604.472585822455,0.0,2230.404227002037,200,20.557400149016424,False,a2c
2023-02-16,1029181.6519603136,-1.6188873613543808,-16188.873613543807,0.0,2230.404227002037,200,17.834731917629504,False,a2c
2023-02-17,1031828.08889614,0.2646436935826438,2646.4369358264375,0.0,2230.404227002037,200,44.30944026337915,False,a2c
2023-02-21,1010124.6867438869,-2.170340215225308,-21703.402152253082,0.0,2230.404227002037,200,18.711727424089204,False,a2c
2023-02-22,1006763.3343001996,-0.3361352443687269,-3361.3524436872685,0.0,2230.404227002037,200,32.79577922415548,False,a2c
2023-02-23,1011366.4157806652,0.4603081480465597,4603.0814804655965,0.0,2230.404227002037,200,9.263636067054271,False,a2c
2023-02-24,999842.2695932875,-1.1524146187377744,-11524.146187377743,0.0,2230.404227002037,200,54.28339232253821,False,a2c
2023-02-27,1002505.0452389849,0.26627756456973734,2662.7756456973734,0.0,2230.404227002037,200,14.233045927985343,False,a2c
2023-02-28,994607.1792210693,-0.7897866017915541,-7897.866017915541,0.0,2230.404227002037,200,4.5887735855771,False,a2c
2023-03-01,995558.0622529082,0.09508830318389228,950.8830318389228,0.0,2230.404227002037,200,38.81900733446325,False,a2c
2023-03-02,1013053.6551326292,1.7495592879720965,17495.592879720964,0.0,2230.404227002037,200,36.74991290203244,False,a2c
2023-03-03,1024294.2515579554,1.1240596425326193,11240.596425326192,0.0,2230.404227002037,200,53.7611377002007,False,a2c
2023-03-06,1022362.1990211959,-0.19320525367595257,-1932.0525367595255,0.0,2236.5573064698638,202,15.9362057001613,False,a2c
2023-03-07,1007930.3473297022,-1.443185169149365,-14431.851691493648,0.0,2236.5573064698638,202,31.885617154918307,False,a2c
2023-03-08,1006744.3901245061,-0.11859572051961441,-1185.957205196144,0.0,2236.5573064698638,202,19.950066892968735,False,a2c
2023-03-09,990568.7666908131,-1.6175623433692963,-16175.623433692963,0.0,2236.5573064698638,202,15.800387192936995,False,a2c
2023-03-10,978208.0583306218,-1.236070836019132,-12360.708360191318,0.0,2236.5573064698638,202,22.22479849723993,False,a2c
2023-03-13,976182.6530662354,-0.20254052643864418,-2025.4052643864416,0.0,2236.868420564868,204,87.73452334074322,False,a2c
2023-03-14,990853.8289244038,1.4671175858168397,14671.175858168397,0.0,2236.868420564868,204,46.45314379454592,False,a2c
2023-03-15,983465.6942744062,-0.7388134649997578,-7388.134649997577,0.0,2242.8887774532077,206,25.895660316711407,False,a2c
2023-03-16,1002710.8976903985,1.9245203415992322,19245.20341599232,0.0,2246.342604744002,208,38.78757752703601,False,a2c
2023-03-17,991089.8722243705,-1.1621025466028019,-11621.025466028019,0.0,2249.845334354178,210,31.9670684006825,False,a2c
2023-03-20,998239.8287958461,0.7149956571475603,7149.956571475603,0.0,2253.329388943225,212,37.117017558330694,False,a2c
2023-03-21,1013142.4188375829,1.490259004173684,14902.59004173684,0.0,2253.329388943225,212,24.35202688315801,False,a2c
2023-03-22,993663.4420102433,-1.947897682733962,-19478.97682733962,0.0,2256.8917071855685,214,17.21119963677687,False,a2c
2023-03-23,996814.2222102842,0.3150780200040899,3150.7802000408988,0.0,2256.8917071855685,214,25.42086769428804,False,a2c
2023-03-24,1001506.3782188719,0.46921560085876846,4692.1560085876845,0.0,2256.8917071855685,214,12.071049584012464,False,a2c
2023-03-27,1002261.5235202448,0.07551453013728605,755.1453013728606,0.0,2259.5184393072414,216,17.83760129815166,False,a2c
2023-03-28,998958.1916479118,-0.3303331872332958,-3303.331872332958,0.0,2259.5184393072414,216,29.029804825258452,False,a2c
2023-03-29,1010424.6299046641,1.146643825675233,11466.438256752328,0.0,2261.810567624008,218,14.354279050407431,False,a2c
2023-03-30,1013283.370087372,0.2858740182707901,2858.740182707901,0.0,2264.0735021347036,220,16.642893045529586,False,a2c
2023-03-31,1028064.1291068746,1.4780759019502556,14780.759019502555,0.0,2266.4030574905973,222,7.329526925423664,False,a2c
2023-04-03,1031671.3774931147,0.3607248386240099,3607.2483862400986,0.0,2268.917031617332,224,10.369364957815673,False,a2c
2023-04-05,1024733.2426155437,-0.328546596340579,-3285.46596340579,0.0,136.52969721569113,16,31.85725961097818,False,a2c
2023-04-06,1027996.5056685844,0.32632630530407186,3263.2630530407187,0.0,231.43200207032376,27,47.451349646247884,False,a2c
2023-04-10,1031218.5996604468,0.32220939918623775,3222.0939918623776,0.0,317.3188622776348,37,14.334257866130175,False,a2c
2023-04-11,1030441.9584320026,-0.07766412284441758,-776.6412284441758,0.0,402.4948156544347,47,14.29517542153832,False,a2c
2023-04-12,1033063.2582163226,0.26212997843200575,2621.2997843200574,0.0,498.59275207924094,57,13.191583384634294,False,a2c
2023-04-13,1048802.6561260703,1.573939790974767,15739.39790974767,0.0,581.6494071779267,66,12.411661098636527,False,a2c
2023-04-14,1044434.9036789909,-0.43677524470794016,-4367.7524470794015,0.0,635.7806835870863,72,18.18046215691819,False,a2c
2023-04-17,1050350.064726681,0.5915161047690083,5915.161047690082,0.0,693.2318705846102,78,103.21866559950114,False,a2c
2023-04-18,1051138.9625180468,0.07888977913658601,788.8977913658601,0.0,735.309290461943,86,11.647575222331925,False,a2c
2023-04-19,1053029.079298386,0.18901167803390417,1890.1167803390417,0.0,751.3280769732831,89,31.520587608884487,False,a2c
2023-04-20,1047691.2758481489,-0.5337803450237029,-5337.803450237028,0.0,764.764027220373,92,90.91545201104799,False,a2c
2023-04-21,1055879.0226670364,0.8187746818887536,8187.7468188875355,0.0,767.0743492707978,94,26.392467430588724,False,a2c
2023-04-24,1055217.8534372183,-0.06611692298180424,-661.1692298180424,0.0,767.0743492707978,94,34.31180965645834,False,a2c
2023-04-25,1041510.7616868808,-1.370709175033751,-13707.09175033751,0.0,767.0743492707978,94,12.414434291928682,False,a2c
2023-04-26,1045071.39010272,0.3560628415839165,3560.6284158391645,0.0,767.0743492707978,94,10.075399536734581,False,a2c
2023-04-27,1066624.1401044363,2.155275000171631,21552.75000171631,0.0,769.2147909595587,96,70.73849520908938,False,a2c
2023-04-28,1073393.4292164594,0.6769289112023078,6769.289112023078,0.0,770.8978446508371,98,52.820813725753624,False,a2c
2023-05-01,1075702.7452089423,0.2309315992482938,2309.315992482938,0.0,770.8978446508371,98,24.046398751102167,False,a2c
2023-05-02,1069657.8392472598,-0.6044905961682555,-6044.905961682555,0.0,770.8978446508371,98,21.9616854377101,False,a2c
2023-05-03,1065946.7901429534,-0.37110491043063815,-3711.049104306381,0.0,770.8978446508371,98,34.42139533414799,False,a2c
2023-05-04,1057363.8747892021,-0.8582915353751276,-8582.915353751276,0.0,770.8978446508371,98,20.006544962165137,False,a2c
2023-05-05,1073962.6412502164,1.6598766461014283,16598.766461014282,0.0,773.1120740021588,100,19.34308597034587,False,a2c
2023-05-08,1072875.5258588917,-0.108711539132474,-1087.11539132474,0.0,775.3695576836219,102,14.340484196436803,False,a2c
2023-05-09,1068905.5083164647,-0.397001754242694,-3970.01754242694,0.0,775.3695576836219,102,7.605496569012365,False,a2c
2023-05-10,1071025.5823154822,0.21200739990174772,2120.073999017477,0.0,775.3695576836219,102,15.29512347760191,False,a2c
