date,portfolio_value,reward,unscaled_reward,cash,transaction_costs,trades,turbulence,risk_off,strategy
2023-01-04,1000670.6469522169,0.06706469522168627,670.6469522168627,951218.3116002285,48.732955444327295,16,48.617618480310206,False,PPO
2023-01-05,1000146.5406086518,-0.05241063435650431,-524.1063435650431,901716.5239128883,98.18529079631561,32,75.76188417571507,False,PPO
2023-01-06,1003194.8863805584,0.3048345771906548,3048.345771906548,852452.3005566585,147.4002991441974,48,36.88287126590971,False,PPO
2023-01-09,1001155.1026174645,-0.2039783763093874,-2039.7837630938739,802154.5244200838,197.64782775216398,64,27.665622415606787,False,PPO
2023-01-10,1002076.8460614262,0.0921743443961721,921.7434439617209,752354.6297261894,247.3979723015091,80,32.68206897992657,False,PPO
2023-01-11,1003952.9563428457,0.18761102814194747,1876.1102814194746,702360.2420158751,297.3424155685565,96,12.194550716494993,False,PPO
2023-01-12,1006823.3459805098,0.2870389637664077,2870.389637664077,652044.5241756589,347.6078679563849,112,31.517460622940924,False,PPO
2023-01-13,1007724.4824127732,0.09011364322634181,901.1364322634181,601311.1526575652,398.29055678564936,128,18.95959843909522,False,PPO
2023-01-17,1003050.2771895073,-0.4674205223265919,-4674.205223265919,550458.6847719448,449.0922230050503,144,16.752907774513883,False,PPO
2023-01-18,994857.5473580199,-0.8192729831487406,-8192.729831487406,500120.4421041691,499.3801777181128,160,93.66725005285348,False,PPO
2023-01-19,990711.5893531344,-0.414595800488547,-4145.95800488547,450597.25786825863,548.853888243498,176,29.96924214535943,False,PPO
2023-01-20,995640.8478957622,0.4929258542627795,4929.258542627795,401446.85370313504,597.9551911057594,192,36.12941970797391,False,PPO
2023-01-23,1001455.5574592734,0.5814709563511191,5814.709563511191,351881.1713542333,647.4713572884781,208,41.29164800434987,False,PPO
2023-01-24,999824.4894283667,-0.1631068030906725,-1631.0680309067247,301863.94362414523,697.4386177580965,224,24.267918218779265,False,PPO
2023-01-25,1000916.2887430529,0.10917993146862137,1091.7993146862136,251959.76459914335,747.292942458398,240,70.90109706442583,False,PPO
2023-01-26,1002168.434254094,0.12521455110411625,1252.1455110411625,201979.39922127314,797.2233774013253,256,15.23518020865826,False,PPO
2023-01-27,1002138.3179523323,-0.0030116301761707294,-30.116301761707295,151917.57271703234,847.2351920908767,272,78.08712783463974,False,PPO
2023-01-30,989071.0481247888,-1.3067269827543526,-13067.269827543525,101854.57471817733,897.2481771047178,288,111.89017051287912,False,PPO
2023-01-31,1000721.3762661341,1.1650328141345294,11650.328141345293,52515.48083595412,946.5379811828628,304,63.07367884174347,False,PPO
2023-02-01,1007635.3087726532,0.6913932506519137,6913.932506519137,2560.001818816744,996.4435546265566,320,33.734816310882906,False,PPO
2023-02-02,1015106.7360510905,0.7471427278437303,7471.427278437302,0.0,1033.7032123962701,334,26.401697821252355,False,PPO
2023-02-03,1006449.5642985551,-0.865717175253539,-8657.171752535389,0.0,1106.9418177327414,350,77.42937474874395,False,PPO
2023-02-06,1000887.0758244566,-0.55624884740985,-5562.4884740985,0.0,1179.769141569029,366,56.11819515246941,False,PPO
2023-02-07,1009999.7660295896,0.9112690205132938,9112.690205132938,0.0,1254.601176823145,383,16.689097054582486,False,PPO
2023-02-08,1002639.7353238902,-0.7360030705699349,-7360.030705699348,0.0,1304.8616259821015,396,35.21474062374773,False,PPO
2023-02-09,993213.9065157542,-0.9425828808136052,-9425.828808136052,0.0,1358.5937405722625,408,22.908968136690973,False,PPO
2023-02-10,994132.9936755828,0.09190871598286322,919.0871598286321,0.0,1411.9738286604536,419,18.04913138754658,False,PPO
2023-02-13,1006163.933757694,1.2030940082111163,12030.940082111163,0.0,1456.3658869901126,431,16.313795799879674,False,PPO
2023-02-14,1001733.7244901197,-0.4430209267574246,-4430.209267574246,0.0,1486.5478082873651,439,9.036396525600187,False,PPO
2023-02-15,1004662.9883156049,0.2929263825485134,2929.2638254851336,0.0,1514.8018584305446,447,20.557400149016424,False,PPO
2023-02-16,991211.3866252799,-1.3451601690324955,-13451.601690324955,0.0,1542.4389243831151,453,17.834731917629504,False,PPO
2023-02-17,995301.6004552568,0.4090213829976856,4090.213829976856,0.0,1567.4959936929013,458,44.30944026337915,False,PPO
2023-02-21,971295.9446542971,-2.400565580095968,-24005.655800959677,0.0,1592.8599686761713,464,18.711727424089204,False,PPO
2023-02-22,970940.7514076243,-0.03551932466727449,-355.19324667274486,0.0,1610.640215728057,470,32.79577922415548,False,PPO
2023-02-23,971948.563049281,0.10078116416566772,1007.8116416566771,0.0,1625.2645948659763,473,9.263636067054271,False,PPO
2023-02-24,960122.4058777094,-1.1826157171571627,-11826.157171571627,0.0,1640.0621383454763,477,54.28339232253821,False,PPO
2023-02-27,963081.4527592927,0.29590468815832865,2959.0468815832864,0.0,1652.9240893834942,480,14.233045927985344,False,PPO
2023-02-28,958151.1799841872,-0.49302727751054337,-4930.2727751054335,0.0,1670.945197666161,485,4.5887735855771,False,PPO
2023-03-01,952956.6526242589,-0.5194527359928354,-5194.527359928354,0.0,1687.6337896148862,489,38.81900733446325,False,PPO
2023-03-02,960386.2228385971,0.7429570214338251,7429.570214338251,0.0,1691.464850042328,492,36.74991290203244,False,PPO
2023-03-03,976844.6077042508,1.6458384865653701,16458.3848656537,0.0,1695.301102910792,495,53.7611377002007,False,PPO
2023-03-06,981423.881620226,0.4579273915975122,4579.273915975122,0.0,1699.184000958005,499,15.9362057001613,False,PPO
2023-03-07,968713.4016465351,-1.2710479973690818,-12710.479973690817,0.0,1700.821569628923,501,31.885617154918307,False,PPO
2023-03-08,968761.8611306548,0.004845948411966674,48.45948411966674,0.0,1708.077378281519,504,19.950066892968735,False,PPO
2023-03-09,952964.4962978042,-1.579736483285064,-15797.364832850639,0.0,1713.2804966129313,509,15.800387192936997,False,PPO
2023-03-10,945589.5710735647,-0.7374925224239472,-7374.925224239472,0.0,1716.0093260074912,512,22.22479849723993,False,PPO
2023-03-13,949180.676609484,0.3591105535919313,3591.105535919313,0.0,1718.7240553532104,515,87.73452334074322,False,PPO
2023-03-14,958439.8734264735,0.9259196816989453,9259.196816989454,0.0,1722.6059756187144,517,46.45314379454592,False,PPO
2023-03-15,956951.3814806431,-0.14884919458304066,-1488.4919458304066,0.0,1725.4138508885896,520,25.895660316711407,False,PPO
2023-03-16,969907.186518408,1.295580503776495,12955.805037764949,0.0,1726.5748925462185,522,38.78757752703601,False,PPO
2023-03-17,960791.3468887501,-0.9115839629657916,-9115.839629657916,0.0,1728.4471234265382,525,31.9670684006825,False,PPO
2023-03-20,972064.495639096,1.1273148750345923,11273.148750345923,0.0,1730.2889240196614,529,37.117017558330694,False,PPO
2023-03-21,983238.0613997799,1.117356576068385,11173.56576068385,0.0,1732.1651116512976,534,24.35202688315801,False,PPO
2023-03-22,965405.8235178083,-1.7832237881971524,-17832.237881971523,0.0,1734.0460307411106,537,17.21119963677687,False,PPO
2023-03-23,969088.213328602,0.3682389810793684,3682.389810793684,0.0,1735.8813771506311,540,25.42086769428804,False,PPO
2023-03-24,974176.7885661022,0.5088575237500133,5088.575237500132,0.0,1737.385872222525,542,12.071049584012464,False,PPO
2023-03-27,971267.3620764263,-0.2909426489675883,-2909.426489675883,0.0,1739.220708025907,546,17.83760129815166,False,PPO
2023-03-28,967776.5350345402,-0.3490827041886049,-3490.8270418860484,0.0,1741.0587172290534,549,29.029804825258452,False,PPO
2023-03-29,984400.5053570904,1.662397032255016,16623.970322550158,0.0,1742.8991922478176,552,14.354279050407431,False,PPO
2023-03-30,989799.2597757946,0.5398754418704194,5398.754418704193,0.0,1744.7601599635998,555,16.642893045529586,False,PPO
2023-03-31,1004322.294512833,1.4523034737038427,14523.034737038426,0.0,1746.3261561079307,558,7.329526925423664,False,PPO
2023-04-03,1008544.5301761841,0.42222356633511376,4222.235663351137,0.0,1747.914907685925,561,10.369364957815671,False,PPO
2023-04-05,1009465.2891893534,0.17180778870536015,1718.0778870536014,0.0,52.77203046848243,13,31.85725961097818,False,PPO
2023-04-06,1011306.365617443,0.18410764280896402,1841.07642808964,0.0,104.75136197770776,28,47.45134964624789,False,PPO
2023-04-10,1007804.1017994394,-0.35022638180035864,-3502.2638180035865,0.0,153.09887873578407,39,14.334257866130176,False,PPO
2023-04-11,1005948.1333638809,-0.18559684355584904,-1855.9684355584905,0.0,203.28135047720713,52,14.29517542153832,False,PPO
2023-04-12,1001556.2892045834,-0.4391844159297529,-4391.844159297529,0.0,253.51083478269496,64,13.191583384634294,False,PPO
2023-04-13,1021724.5312250947,2.01682420205113,20168.2420205113,0.0,303.6657129475008,75,12.411661098636529,False,PPO
2023-04-14,1017653.0510410261,-0.40714801840685544,-4071.480184068554,0.0,356.9089929881011,87,18.18046215691819,False,PPO
2023-04-17,1023569.2796909646,0.591622864993848,5916.228649938479,0.0,415.40336491530275,98,103.21866559950114,False,PPO
2023-04-18,1021395.3452660223,-0.21739344249423595,-2173.9344249423593,0.0,474.57771787486104,111,11.647575222331923,False,PPO
2023-04-19,1029318.3696176015,0.7923024351579254,7923.024351579254,0.0,533.7038774809815,123,31.520587608884487,False,PPO
2023-04-20,1023950.2794902477,-0.536809012735379,-5368.090127353789,0.0,580.0902268218026,133,90.915452011048,False,PPO
2023-04-21,1023320.8990683863,-0.06293804218614242,-629.3804218614242,0.0,624.4176755190425,142,26.392467430588724,False,PPO
2023-04-24,1026914.7475218303,0.3593848453443963,3593.8484534439626,0.0,668.6772764715486,154,34.31180965645834,False,PPO
2023-04-25,1018096.3237208113,-0.8818423801018973,-8818.423801018973,0.0,712.8889730589226,164,12.414434291928682,False,PPO
2023-04-26,1008615.3502314704,-0.948097348934086,-9480.97348934086,0.0,761.5856992924605,176,10.07539953673458,False,PPO
2023-04-27,1033162.7290996304,2.4547378868159955,24547.378868159954,0.0,800.9680131739074,186,70.73849520908938,False,PPO
2023-04-28,1041284.3516361522,0.8121622536521871,8121.622536521871,0.0,831.8589782873839,194,52.820813725753624,False,PPO
2023-05-01,1030742.529212328,-1.0541822423824225,-10541.822423824226,0.0,863.1550401362991,201,24.046398751102167,False,PPO
2023-05-02,1026567.2472579126,-0.4175281954415376,-4175.281954415375,0.0,902.0466937357747,208,21.9616854377101,False,PPO
2023-05-03,1022474.3193135172,-0.40929279443954586,-4092.9279443954583,0.0,934.8632266784,215,34.42139533414799,False,PPO
2023-05-04,1010607.8477716884,-1.1866471541828825,-11866.471541828823,0.0,965.3488914381669,222,20.006544962165137,False,PPO
2023-05-05,1034745.3853652487,2.4137537593560294,24137.537593560293,0.0,989.9195780640091,227,19.34308597034587,False,PPO
2023-05-08,1034247.0540422616,-0.04983313229870983,-498.33132298709825,0.0,1019.4219709208764,232,14.340484196436805,False,PPO
2023-05-09,1027634.347475101,-0.6612706567160552,-6612.706567160552,0.0,1052.2544663516608,237,7.605496569012365,False,PPO
2023-05-10,1035049.2827852691,0.7414935310168076,7414.935310168075,0.0,1085.5185552303462,243,15.29512347760191,False,PPO
2023-05-11,1036012.600774551,0.09633179892819609,963.3179892819608,0.0,1118.1758529244642,249,17.742412631171188,False,PPO
2023-05-12,1027399.8578414224,-0.8612742933128612,-8612.742933128611,0.0,1139.8052816584573,254,50.072378469578,False,PPO
2023-05-15,1025167.9131668241,-0.2231944674598286,-2231.944674598286,0.0,1160.1819158876772,258,11.436224070586023,False,PPO
2023-05-16,1015412.6231179,-0.9755290048924159,-9755.290048924158,0.0,1183.0065637915611,262,8.038729035274624,False,PPO
2023-05-17,1031556.1371869817,1.614351406908175,16143.51406908175,0.0,1193.608859641183,266,17.65757511927638,False,PPO
2023-05-18,1050555.3403503257,1.8999203163343947,18999.203163343947,0.0,1202.3065486333394,271,18.91829957640753,False,PPO
2023-05-19,1048537.7074090224,-0.20176329413033092,-2017.632941303309,0.0,1210.1580380137063,275,14.83379418760848,False,PPO
2023-05-22,1041851.3802993748,-0.6686327109647566,-6686.3271096475655,0.0,1220.3857613923349,281,13.984044301734905,False,PPO
2023-05-23,1028993.5795784594,-1.285780072091543,-12857.800720915431,0.0,1228.4578637599882,285,38.871016024212295,False,PPO
2023-05-24,1031495.4887482794,0.2501909169820021,2501.9091698200205,0.0,1238.665099809108,289,29.310775061466835,False,PPO
2023-05-25,1027559.1850108407,-0.393630373743875,-3936.30373743875,0.0,1246.5602661655207,294,18.11343797357665,False,PPO
2023-05-26,1042205.3931898006,1.4646208178959903,14646.208178959901,0.0,1255.093150810247,298,137.4635388604851,False,PPO
2023-05-30,1044368.6129366779,0.2163219746877323,2163.219746877323,0.0,1264.4738319190355,302,21.34586136312895,False,PPO
2023-05-31,1040593.6254278778,-0.3774987508800114,-3774.9875088001136,0.0,1272.7521972814807,305,20.33284934764629,False,PPO
2023-06-01,1063066.2381211082,2.247261269323039,22472.61269323039,0.0,1281.0364309178387,308,27.303746522810496,False,PPO
2023-06-02,1082457.1064163644,1.9390868295256283,19390.86829525628,0.0,1287.099461778943,311,59.376416237883305,False,PPO
2023-06-05,1076610.6702366627,-0.5846436179701705,-5846.4361797017045,0.0,1291.3351486971603,314,89.29611177326537,False,PPO
2023-06-06,1078146.316641831,0.15356464051683433,1535.646405168343,0.0,1294.810479710966,317,22.775727156282557,False,PPO
2023-06-07,1074650.008722663,-0.3496307919168147,-3496.307919168147,0.0,1298.2801403803808,322,21.22926632896889,False,PPO
2023-06-08,1087002.736723508,1.2352728000845061,12352.72800084506,0.0,1301.726859590658,326,37.19742154955682,False,PPO
2023-06-09,1081191.8376908868,-0.581089903262118,-5810.89903262118,0.0,1304.1378263101858,328,19.944281741027616,False,PPO
2023-06-12,1098213.1635968008,1.7021325905913953,17021.325905913953,0.0,1306.4071786043846,334,6.826302995391488,False,PPO
