strategy,final_portfolio_value,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
A2C,1291977.8684729172,0.2919778684729173,0.08068083675878368,0.1509646636747053,0.5344352432873473,-0.17874389411302893
PPO,2092464.044077752,1.0924640440777518,0.25061137991303273,0.1760683997883197,1.4233751213410992,-0.22366960216921594
DDPG,1468434.9055625482,0.4684349055625483,0.12340854116213418,0.1349399020518103,0.9145444696910433,-0.17249720979326544
Ensemble,1417050.7989004345,0.4170507989004346,0.1113537377734346,0.15073400928654584,0.7387432889265938,-0.21338022438646553
